name,description,phone_number,lat,lng,address,link,category,logo,
Velez Jiujitsu,,(201) 835-4461,40.5820362,-74.2954645,"1252 St Georges AveAvenel, NJ 07001",GroundStandard.com,Martial Arts,gsn.logostamp_blue.png,14
Gracie Tampa HQ,,(813) 803-3528,28.1371301,-82.4647463,"18125 North, US-41Lutz, FL 33549",GroundStandard.com,Martial Arts,gsn.logostamp_blue.png,15
Wright Fight Concepts,,(732) 877-4041,40.0822216,-74.5352884,"126 New Egypt Allentown RdNew Egypt, NJ 08533",GroundStandard.com,Martial Arts,My Post Copy (4).png,21
Brazilian Top Team Juno Beach,,(475) 239-6094,26.8830217,-80.0614393,"827 Donald Ross RdJuno Beach, FL 33408",GroundStandard.com,Martial Arts,gsn.logostamp_blue.png,29
Grappling Arts Studios Brazilian Jiu-Jitsu,,(732) 945-1184,40.3251525,-74.0636182,"827 Broad St #2Shrewsbury, NJ 07702",GroundStandard.com,Martial Arts,tk.gas_graphics10.PNG,42
The Inferno Training and Performance Center,,(732) 414-1771,40.3215827,-74.2456274,"52 N Main St Unit 7-8Marlboro Township, NJ 07746",GroundStandard.com,Martial Arts,LegionLogo.png,43
"Revolution BJJ, Boxing, and Fitness Kennett Square",,(484) 730-1882,39.8437986,-75.7228997,"210 S. Mill St Suite 101Kennett Square, PA 19348",GroundStandard.com,Martial Arts,gsn.logostamp_blue.png,50
